pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Vitamin E metabolism	0	2	0.494244181161			
Di-unsaturated fatty acid beta-oxidation	0	0	0.494244181161			
Glycerolipid metabolism	0	0	0.494244181161			
Glycolysis and Gluconeogenesis	0	2	0.494244181161			
R Group Synthesis	0	0	0.494244181161			
Vitamin B2 (riboflavin) metabolism	0	0	0.494244181161			
Pyruvate Metabolism	0	0	0.494244181161			
C5-Branched dibasic acid metabolism	0	0	0.494244181161			
Pentose phosphate pathway	0	5	0.494244181161			
C21-steroid hormone biosynthesis and metabolism	0	1	0.494244181161			
Starch and Sucrose Metabolism	0	2	0.494244181161			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.494244181161			
Drug metabolism - other enzymes	0	2	0.494244181161			
Selenoamino acid metabolism	0	4	0.494244181161			
Omega-6 fatty acid metabolism	0	0	0.494244181161			
Prostaglandin formation from dihomo gama-linoleic acid	0	0	0.494244181161			
